code,name,level,group_code,group_name,qualification
"13.02.2008","Электроизоляционная, кабельная и конденсаторная техника","college","13.00.00","ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА","Техник; Старший техник"
"13.02.2009","Монтаж и эксплуатация линий электропередачи","college","13.00.00","ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА","Техник-электромонтажник"
"13.02.2010","Электрические машины и аппараты","college","13.00.00","ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА","Техник; Специалист по электрическим машинам и аппаратам"
"13.02.2011","Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям)","college","13.00.00","ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА","Техник; Старший техник"
"14.02.2001","Атомные электрические станции и установки","college","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ","Техник"
"14.02.2002","Радиационная безопасность","college","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ","Техник"
"14.02.2003","Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655","college","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ",""
"15.02.2001","Монтаж и техническая эксплуатация промышленного оборудования (по отраслям)","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник-механик; Старший техник-механик"
"15.02.2002","Техническая эксплуатация оборудования для производства электронной техники","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник; Старший техник"
"15.02.2003","Техническая эксплуатация гидравлических машин, гидроприводов и гидропневмоавтоматики","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник"
"15.02.2004","Специальные машины и устройства","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник; Старший техник"
"15.02.2005","Техническая эксплуатация оборудования в торговле и общественном питании","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник-механик; Старший техник-механик"
"15.02.2006","Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок (по отраслям)","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник; Старший техник"
"15.02.2007","Автоматизация технологических процессов и производств (по отраслям)","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник; Старший техник"
"15.02.2008","Технология машиностроения","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник; Специалист по технологии машиностроения"
"15.02.2009","Аддитивные технологии","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник-технолог"
"15.02.2010","Мехатроника и мобильная робототехника (по отраслям)","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник-мехатроник; Специалист по мобильной робототехнике"
"15.02.2011","Техническая эксплуатация и обслуживание роботизированного производства","college","15.00.00","МАШИНОСТРОЕНИЕ","Старший техник"
"15.02.2012","Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям)","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник-механик"
