code,name,level,group_code,group_name
"46.03.03","Антропология и этнология","bachelor","46.00.00","ИСТОРИЯ И АРХЕОЛОГИЯ"
"46.03.04","Археология","bachelor","46.00.00","ИСТОРИЯ И АРХЕОЛОГИЯ"
"47.03.01","Философия","bachelor","47.00.00","ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ"
"47.03.02","Прикладная этика","bachelor","47.00.00","ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ"
"47.03.03","Религиоведение","bachelor","47.00.00","ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ"
"48.03.01","Теология","bachelor","48.00.00","ТЕОЛОГИЯ"
"49.03.01","Физическая культура","bachelor","49.00.00","ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ"
"49.03.02","Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)","bachelor","49.00.00","ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ"
"49.03.03","Рекреация и спортивно-оздоровительный туризм","bachelor","49.00.00","ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ"
"50.03.01","Искусства и гуманитарные науки","bachelor","50.00.00","ИСКУССТВОЗНАНИЕ"
"50.03.02","Изящные искусства","bachelor","50.00.00","ИСКУССТВОЗНАНИЕ"
"50.03.03","История искусств","bachelor","50.00.00","ИСКУССТВОЗНАНИЕ"
"50.03.04","Теория и история искусств","bachelor","50.00.00","ИСКУССТВОЗНАНИЕ"
"51.03.01","Культурология","bachelor","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ"
"51.03.02","Народная художественная культура","bachelor","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ"
"51.03.03","Социально-культурная деятельность","bachelor","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ"
"51.03.04","Музеология и охрана объектов культурного и природного наследия","bachelor","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ"
"51.03.05","Режиссура театрализованных представлений и праздников","bachelor","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ"
"51.03.06","Библиотечно-информационная деятельность","bachelor","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ"
"52.03.01","Хореографическое искусство","bachelor","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО"
"52.03.02","Хореографическое исполнительство","bachelor","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО"
"52.03.03","Цирковое искусство","bachelor","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО"
"52.03.04","Технология художественного оформления спектакля","bachelor","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО"
"52.03.05","Театроведение","bachelor","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО"
"52.03.06","Драматургия","bachelor","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО"
"54.03.01","Дизайн","bachelor","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ"
"54.03.02","Декоративно-прикладное искусство и народные промыслы","bachelor","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ"
"54.03.03","Искусство костюма и текстиля","bachelor","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ"
"54.03.04","Реставрация","bachelor","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ"
"54.03.05","Традиционное прикладное искусство","bachelor","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ"
