code,name,level,group_code,group_name,qualification
"26.05.02","Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер"
"26.05.03","Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер"
"26.05.04","Применение и эксплуатация технических систем надводных кораблей и подводных лодок","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер"
"26.05.05","Судовождение","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер-судоводитель"
"26.05.06","Эксплуатация судовых энергетических установок","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер-механик"
"26.05.07","Эксплуатация судового электрооборудования и средств автоматики","specialist","26.00.00","ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА","Инженер-электромеханик"
"27.05.01","Специальные организационно-технические системы","specialist","27.00.00","УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ","Инженер-системотехник; ЗДРАВООХРАНЕНИЕ И МЕДИЦИНСКИЕ НАУКИ"
"30.05.01","Медицинская биохимия","specialist","30.00.00","ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА","Врач-биохимик"
"30.05.02","Медицинская биофизика","specialist","30.00.00","ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА","Врач-биофизик"
"30.05.03","Медицинская кибернетика","specialist","30.00.00","ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА","Врач-кибернетик"
"31.05.01","Лечебное дело","specialist","31.00.00","КЛИНИЧЕСКАЯ МЕДИЦИНА","Врач - лечебник"
"31.05.02","Педиатрия","specialist","31.00.00","КЛИНИЧЕСКАЯ МЕДИЦИНА","Врач - педиатр"
"31.05.03","Стоматология","specialist","31.00.00","КЛИНИЧЕСКАЯ МЕДИЦИНА","Врач - стоматолог"
"31.05.04","Остеопатия","specialist","31.00.00","КЛИНИЧЕСКАЯ МЕДИЦИНА","Врач - остеопат"
"32.05.01","Медико-профилактическое дело","specialist","32.00.00","НАУКИ О ЗДОРОВЬЕ И ПРОФИЛАКТИЧЕСКАЯ МЕДИЦИНА","Врач по общей гигиене, по эпидемиологии"
"33.05.01","Фармация","specialist","33.00.00","ФАРМАЦИЯ","Провизор; СЕЛЬСКОЕ ХОЗЯЙСТВО И СЕЛЬСКОХОЗЯЙСТВЕННЫЕ НАУКИ"
"36.05.01","Ветеринария","specialist","36.00.00","ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ","Ветеринарный врач; НАУКИ ОБ ОБЩЕСТВЕ"
"37.05.01","Клиническая психология","specialist","37.00.00","ПСИХОЛОГИЧЕСКИЕ НАУКИ","Клинический психолог"
"37.05.02","Психология служебной деятельности","specialist","37.00.00","ПСИХОЛОГИЧЕСКИЕ НАУКИ","Психолог"
"38.05.01","Экономическая безопасность","specialist","38.00.00","ЭКОНОМИКА И УПРАВЛЕНИЕ","Экономист"
"38.05.02","Таможенное дело","specialist","38.00.00","ЭКОНОМИКА И УПРАВЛЕНИЕ","Специалист таможенного дела"
"40.05.01","Правовое обеспечение национальной безопасности","specialist","40.00.00","ЮРИСПРУДЕНЦИЯ","Юрист"
"40.05.02","Правоохранительная деятельность","specialist","40.00.00","ЮРИСПРУДЕНЦИЯ","Юрист"
"40.05.03","Судебная экспертиза","specialist","40.00.00","ЮРИСПРУДЕНЦИЯ","Судебный эксперт"
"40.05.04","Судебная и прокурорская деятельность","specialist","40.00.00","ЮРИСПРУДЕНЦИЯ","Юрист; ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ"
"44.05.01","Педагогика и психология девиантного поведения","specialist","44.00.00","ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ","Социальный педагог; ГУМАНИТАРНЫЕ НАУКИ"
"45.05.01","Перевод и переводоведение","specialist","45.00.00","ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ","Лингвист-переводчик; ИСКУССТВО И КУЛЬТУРА"
"51.05.01","Звукорежиссура культурно-массовых представлений и концертных программ","specialist","51.00.00","КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ","Звукорежиссер"
"52.05.01","Актерское искусство","specialist","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО","Артист; драматического театра и кино. Артист музыкального театра.; Артист театра кукол.; Артист эстрады. Артист мюзикла"
"52.05.02","Режиссура театра","specialist","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО","Режиссер драмы.; Режиссер музыкального театра.; Режиссер театра кукол.; Режиссер эстрады.; Режиссер цирка"
"52.05.03","Сценография","specialist","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО","Художник-постановщик театра.; Художник-постановщик в театре кукол.; Художник по сценическому костюму; Художник по гриму"
