Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
19.02.2007	Технология молока и молочных продуктов	Техник-технолог	
		Старший техник-технолог	
19.02.2008	Технология мяса и мясных продуктов	Техник-технолог	
		Старший техник-технолог	
19.02.2009	Технология жиров и жирозаменителей	Техник-технолог	
		Старший техник-технолог	
19.02.2010	Технология продукции общественного питания	Техник-технолог	
		Старший техник-технолог	
20.00.00	ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО		
20.02.2001	Рациональное использование природохозяйственных комплексов	Техник-эколог	
		Специалист по охране окружающей среды	
20.02.2002	Защита в чрезвычайных ситуациях	Техник-спасатель	
		Старший техник-спасатель	
20.02.2003	Природоохранное обустройство территорий	Техник	
		Старший техник	
20.02.2004	Пожарная безопасность	Техник	
		Старший техник	
20.02.2005	Организация оперативного (экстренного) реагирования в чрезвычайных ситуациях	Специалист по приему и обработке экстренных вызовов	
21.00.00	"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ"		
21.02.2001	Разработка и эксплуатация нефтяных и газовых месторождений	Техник-технолог	
		Старший техник-технолог	
21.02.2002	Бурение нефтяных и газовых скважин	Техник-технолог	
		Старший техник-технолог	
21.02.2003	Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ	Техник	
		Старший техник	
21.02.2004	Землеустройство	Техник-землеустроитель	
		Специалист-землеустроитель	
21.02.2005	Земельно-имущественные отношения	Специалист по земельно-имущественным отношениям	
21.02.2006	Информационные системы обеспечения градостроительной деятельности	Техник	
		Специалист по информационным системам обеспечения градостроительной деятельности	
21.02.2007	Аэрофотогеодезия	Техник-аэрофотогеодезист	
		Специалист по аэрофотогеодезии	
21.02.2008	Прикладная геодезия	Техник-геодезист	
		Специалист по геодезии	
21.02.2009	Гидрогеология и инженерная геология	Техник-гидрогеолог	
		Специалист-гидрогеолог	
21.02.2010	Геология и разведка нефтяных и газовых месторождений	Техник-геолог	
		Специалист по разведке нефтяных и газовых месторождений	
21.02.2011	Геофизические методы поисков и разведки месторождений полезных ископаемых	Техник-геофизик	
		Специалист-геофизик	
21.02.2012	Технология и техника разведки месторождений полезных ископаемых	Техник - горный разведчик	
		Специалист - горный разведчик	
21.02.2013	"Геологическая съемка, поиски и разведка месторождений полезных ископаемых"	Техник-геолог	
		Специалист-геолог	
21.02.2014	Маркшейдерское дело	Горный техник-маркшейдер	
21.02.2015	Открытые горные работы	Горный техник-технолог	
		Специалист по горным работам	
21.02.2016	Шахтное строительство	Горный техник-шахтостроитель	
21.02.2017	Подземная разработка месторождений полезных ископаемых	Горный техник-технолог	
		Специалист по горным работам	
21.02.2018	Обогащение полезных ископаемых	Техник	
		Старший техник	
