Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
11.02.2015	Инфокоммуникационные сети и системы связи	Специалист по обслуживанию телекоммуникаций	
11.02.2016	"Монтаж, техническое обслуживание и ремонт электронных приборов и устройств"	Специалист по электронным приборам и устройствам	
12.00.00	"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ"		
12.02.2001	Авиационные приборы и комплексы	Техник	
12.02.2002	Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655		
	См. предыдущую редакцию		
12.02.2003	Радиоэлектронные приборные устройства	Техник	
12.02.2004	Электромеханические приборные устройства	Техник	
12.02.2005	Оптические и оптико-электронные приборы и системы	Техник	
12.02.2006	Биотехнические и медицинские аппараты и системы	Техник	
12.02.2007	"Монтаж, техническое обслуживание и ремонт медицинской техники"	Техник	
		Старший техник	
12.02.2008	Протезно-ортопедическая и реабилитационная техника	Техник	
12.02.2009	Производство и эксплуатация оптических и оптико-электронных приборов и систем	Техник	
12.02.2010	"Монтаж, техническое обслуживание и ремонт биотехнических и медицинских аппаратов и систем"	Техник по биотехническим и медицинским аппаратам и системам	
13.00.00	ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА		
13.02.2001	Тепловые электрические станции	Техник-теплотехник	
		Старший техник-теплотехник	
13.02.2002	Теплоснабжение и теплотехническое оборудование	Техник-теплотехник	
		Старший техник-теплотехник	
13.02.2003	"Электрические станции, сети и системы"	Техник-электрик	
		Старший техник-электрик	
13.02.2004	Гидроэлектроэнергетические установки	Техник	
13.02.2005	"Технология воды, топлива и смазочных материалов на электрических станциях"	Техник-технолог	
13.02.2006	Релейная защита и автоматизация электроэнергетических систем	Техник-электрик	
		Старший техник-электрик	
13.02.2007	Электроснабжение (по отраслям)	Техник	
		Специалист по электроснабжению	
13.02.2008	"Электроизоляционная, кабельная и конденсаторная техника"	Техник	
		Старший техник	
13.02.2009	Монтаж и эксплуатация линий электропередачи	Техник-электромонтажник	
13.02.2010	Электрические машины и аппараты	Техник	
		Специалист по электрическим машинам и аппаратам	
13.02.2011	Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям)	Техник	
		Старший техник	
14.00.00	ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ		
14.02.2001	Атомные электрические станции и установки	Техник	
14.02.2002	Радиационная безопасность	Техник	
14.02.2003	Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655		
	См. предыдущую редакцию		
15.00.00	МАШИНОСТРОЕНИЕ		
15.02.2001	Монтаж и техническая эксплуатация промышленного оборудования (по отраслям)	Техник-механик	
